iter	Passed	Remaining
671	790	385
672	791	384
673	792	383
674	793	382
675	794	380
676	796	379
677	797	378
678	798	377
679	799	376
680	800	374
681	801	373
682	802	372
683	803	371
684	804	369
685	805	368
686	806	367
687	807	366
688	808	364
689	809	363
690	810	362
691	811	361
692	812	360
693	813	358
694	814	357
695	815	356
696	816	354
697	817	353
698	818	352
699	819	351
700	820	349
701	821	348
702	822	347
703	823	346
704	824	345
705	826	343
706	827	342
707	827	341
708	828	340
709	830	339
710	831	337
711	832	336
712	833	335
713	833	334
714	834	332
715	835	331
716	836	330
717	837	329
718	838	327
719	840	326
720	840	325
721	841	324
722	842	322
723	843	321
724	845	320
725	846	319
726	846	318
727	847	316
728	848	315
729	849	314
730	850	313
731	851	311
732	852	310
733	853	309
734	854	308
735	855	306
736	856	305
737	857	304
738	858	303
739	859	301
740	860	300
741	861	299
742	862	298
743	863	297
744	864	295
745	865	294
746	865	293
747	866	292
748	868	290
749	869	289
750	869	288
751	870	287
752	871	285
753	872	284
754	873	283
755	874	282
756	875	280
757	876	279
758	876	278
759	877	277
760	878	275
761	879	274
762	880	273
763	881	272
764	882	271
765	883	269
766	884	268
767	885	267
768	886	266
769	886	264
770	888	263
771	889	262
772	890	261
773	891	260
774	891	258
775	892	257
776	893	256
777	894	255
778	895	254
779	897	253
780	898	251
781	899	250
782	900	249
783	901	248
784	902	247
785	903	245
786	904	244
787	905	243
788	906	242
789	907	241
790	908	240
791	909	238
792	910	237
793	912	236
794	913	235
795	914	234
796	915	233
797	916	231
798	917	230
799	918	229
800	920	228
801	921	227
802	922	226
803	923	225
804	924	223
805	925	222
806	927	221
807	928	220
808	929	219
809	930	218
810	931	217
811	932	215
812	933	214
813	934	213
814	935	212
815	936	211
816	937	209
817	938	208
818	939	207
819	940	206
820	941	205
821	942	204
822	943	202
823	944	201
824	946	200
825	947	199
826	948	198
827	949	197
828	950	195
829	951	194
830	951	193
831	952	192
832	953	191
833	954	190
834	955	188
835	956	187
836	957	186
837	958	185
838	959	184
839	960	183
840	961	181
841	962	180
842	963	179
843	964	178
844	965	177
845	966	175
846	967	174
847	968	173
848	969	172
849	970	171
850	971	170
851	972	168
852	973	167
853	974	166
854	975	165
855	976	164
856	977	163
857	978	161
858	979	160
859	980	159
860	980	158
861	981	157
862	982	156
863	984	154
864	985	153
865	986	152
866	987	151
867	988	150
868	989	149
869	991	148
870	992	146
871	993	145
872	994	144
873	996	143
874	997	142
875	999	141
876	1000	140
877	1001	139
878	1002	138
879	1004	136
880	1005	135
881	1006	134
882	1007	133
883	1008	132
884	1009	131
885	1010	130
886	1011	128
887	1013	127
888	1014	126
889	1015	125
890	1016	124
891	1017	123
892	1018	122
893	1019	120
894	1020	119
895	1021	118
896	1022	117
897	1023	116
898	1024	115
899	1025	113
900	1026	112
901	1027	111
902	1028	110
903	1029	109
904	1030	108
905	1031	107
906	1033	105
907	1034	104
908	1035	103
909	1035	102
910	1036	101
911	1037	100
912	1038	98
913	1039	97
914	1040	96
915	1041	95
916	1042	94
917	1043	93
918	1044	92
919	1045	90
920	1046	89
921	1047	88
922	1048	87
923	1049	86
924	1050	85
925	1051	83
926	1052	82
927	1052	81
928	1053	80
929	1054	79
930	1055	78
931	1056	77
932	1057	75
933	1058	74
934	1059	73
935	1060	72
936	1061	71
937	1062	70
938	1063	69
939	1064	67
940	1064	66
941	1065	65
942	1066	64
943	1067	63
944	1068	62
945	1069	61
946	1070	59
947	1071	58
948	1072	57
949	1073	56
950	1074	55
951	1075	54
952	1076	53
953	1077	51
954	1077	50
955	1078	49
956	1079	48
957	1080	47
958	1081	46
959	1082	45
960	1083	43
961	1084	42
962	1085	41
963	1086	40
964	1087	39
965	1088	38
966	1088	37
967	1089	36
968	1090	34
969	1091	33
970	1092	32
971	1093	31
972	1094	30
973	1095	29
974	1096	28
975	1097	26
976	1098	25
977	1100	24
978	1101	23
979	1102	22
980	1103	21
981	1104	20
982	1105	19
983	1106	17
984	1107	16
985	1108	15
986	1109	14
987	1110	13
988	1111	12
989	1112	11
990	1113	10
991	1114	8
992	1115	7
993	1116	6
994	1117	5
995	1118	4
996	1119	3
997	1120	2
998	1121	1
999	1122	0
